IE_XML_ID;IE_NAME;IP_PROP9;IP_PROP13;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1;CV_CURRENCY_1
7907;"Насос водяной (помпа) для Geely MK 2008>";E050100005;"no image";"MK 2008>";"Система охлаждения";"Насос водяной (помпа)";;RUB
7908;"Патрубок радиатора для Geely MK 2008>";1016003339;"no image";"MK 2008>";"Система охлаждения";"Патрубок радиатора";;RUB
7909;"Патрубок радиатора для Geely MK 2008>";1602200180;"no image";"MK 2008>";"Система охлаждения";"Патрубок радиатора";;RUB
7910;"Радиатор основной для Geely MK 2008>";1016001409;"no image";"MK 2008>";"Система охлаждения";"Радиатор основной";;RUB
7911;"Радиатор основной для Geely MK 2008>";160204118001;"no image";"MK 2008>";"Система охлаждения";"Радиатор основной";;RUB
7912;"Термостат для Geely MK 2008>";E060020005;"no image";"MK 2008>";"Система охлаждения";Термостат;;RUB
7913;"Фланец двигателя системы охлаждения для Geely MK 2008>";E010001701;"no image";"MK 2008>";"Система охлаждения";"Фланец двигателя системы охлаждения";;RUB
7914;"Шайба для Geely MK 2008>";1014001671;"no image";"MK 2008>";"Сопутствующие товары";Шайба;;RUB
7915;"Шайба для Geely MK 2008>";1014001668;"no image";"MK 2008>";"Сопутствующие товары";Шайба;;RUB
7916;"Барабан тормозной для Geely MK 2008>";1014001815;"no image";"MK 2008>";"Тормозная система";"Барабан тормозной";;RUB
7917;"Диск тормозной передний вентилируемый для Geely MK 2008>";PBD4163;"no image";"MK 2008>";"Тормозная система";"Диск тормозной передний вентилируемый";;RUB
7918;"Диск тормозной передний вентилируемый для Geely MK 2008>";60-02-230;0845fa323.jpg;"MK 2008>";"Тормозная система";"Диск тормозной передний вентилируемый";;RUB
7919;"Диск тормозной передний вентилируемый для Geely MK 2008>";60-02-221;37917c585.jpg;"MK 2008>";"Тормозная система";"Диск тормозной передний вентилируемый";;RUB
7920;"Диск тормозной передний вентилируемый для Geely MK 2008>";81927942;7ed224ae0.jpg;"MK 2008>";"Тормозная система";"Диск тормозной передний вентилируемый";;RUB
7921;"Диск тормозной передний вентилируемый для Geely MK 2008>";DI-221;"no image";"MK 2008>";"Тормозная система";"Диск тормозной передний вентилируемый";;RUB
7922;"Диск тормозной передний вентилируемый для Geely MK 2008>";MDC1394;711b6eb3e.jpg;"MK 2008>";"Тормозная система";"Диск тормозной передний вентилируемый";;RUB
7923;"Диск тормозной передний вентилируемый для Geely MK 2008>";TB217661;c1acc2a54.jpg;"MK 2008>";"Тормозная система";"Диск тормозной передний вентилируемый";;RUB
7924;"Диск тормозной передний вентилируемый для Geely MK 2008>";92115603;87400c5d7.jpg;"MK 2008>";"Тормозная система";"Диск тормозной передний вентилируемый";;RUB
